name,character,first_name,last_name,img_url,imdb_id
Alan Alda,Captain Benjamin Franklin Pierce,Alan,Alda,,
Alan Manson,Colonel Hersh,Alan,Manson,,
Alex Henteloff,Captain Casey,Alex,Henteloff,,
Arlene Golonka,Nurse Edwina 'Eddie' Ferguson,Arlene,Golonka,,
Barbara Brownell,Lt. Jones,Barbara,Brownell,,
Bert Kramer,Sgt. Martin,Bert,Kramer,,
Bill Svanoe,Aide,Bill,Svanoe,,
Billy Green Bush,John 'Cowboy' Hodges,Billy,Green Bush,,
Bobbie Mitchell,Nurse Mason,Bobbie,Mitchell,,
Bonnie Jones,Lt. Barbara Bannerman ,Bonnie,Jones,,
Bruce Kimmel,Private Gilbert,Bruce,Kimmel,,
Bruno Kirby,Pvt. Lorenzo Boone,Bruno,Kirby,,
Buck Young,M.P.,Buck,Young,,
Byron Chung,P.O.W.,Byron,Chung,,
Captain Tuttle,Himself,Captain,Tuttle,,
Chuck Hicks,Patient #2,Chuck,Hicks,,
Craig Jue,Benny,Craig,Jue,,
Dennis Fimple,Sergeant 'Sparky' Pryor,Dennis,Fimple,,
Ed Flanders,Lt. Dwayne Bricker,Ed,Flanders,,
Fred Lerner,Patient #1,Fred,Lerner,,
G. Wood,Brig. Gen. Charlie Hammond,G.,Wood,,
Gail Bowman,Nurse Powell,Gail,Bowman,,
Gary Burghoff,Corporal Walter Eugene O'Reilly,Gary,Burghoff,,
Gary Van Ormand,Corporal,Gary,Van Ormand,,
George Morgan,Lt. Father Francis John Patrick Mulcahy,George,Morgan,,
Harvey J. Goldenberg,Kaplan,Harvey ,Goldenberg,,
Harvey J. Goldenberg,Kaplan,Harvey,Goldenberg,,
Herb Voland,Gen. Crandell Clayton,Herb,Voland,,
Jack Riley,Capt. Kaplan,Jack,Riley,,
Jack Soo,Charlie Lee,Jack,Soo,,
James Sikking,Finance Officer,James,Sikking,,
James T. Callahan,Tommy Gillis ,James,Callahan,,
Jamie Farr,Maxwell Klinger,Jamie,Farr,,
Jean Pleet,Nurse,Jean,Pleet,,
Jean Powell,Nurse Baker,Jean,Powell,,
Jean Turrell,Miller Sister,Jean,Turrell,,
Jerry Harper,Sergeant,Jerry,Harper,,
Joan Lucksinger,Miller Sister,Joan,Lucksinger,,
Joe Corey,Goldstein (as Joseph Corey),Joe,Corey,,
Joey Forman,Jackie Flash,Joey,Forman,,
John A. Zee,Commander Sturner,John,Zee,,
John C. Johnson,Truck Driver,John,Johnson,,
John Orchard,Capt. 'Ugly John' Black,John,Orchard,,
Joseph V. Perry,The Cook (as Joseph Perry),Joseph,Perry,,
Karen Philipp,Lt. Maria 'Dish' Schneider,Karen,Philipp,,
Kasuko Sakuro,Cho-Cho,Kasuko,Sakuro,,
Kathleen King,Nurse Beddoes,Kathleen,King,,
Kelly Jean Peters,Lt. Louise Anderson,Kelly,Peters,,
Larry Linville,Major Franklin Marion Burns,Larry,Linville,,
Laura Miller,Knocko,Laura,Miller,,
Leslie Nielsen,Col. Buzz Brighton,Leslie,Nielsen,,
Linda Meiklejohn,Lt. Leslie Scorch,Linda,Meiklejohn,,
Lizabeth Deen,Becky,Lizabeth,Deen,,
Loretta Swit,Major Margaret Houlihan,Loretta,Swit,,
Lynette Mettey,Lt. Nancy Griffin ,Lynette,Mettey,,
Marcia Strassman,Nurse Margie Cutler,Marcia,Strassman,,
Marilyn King,Miller Sister,Marilyn,King,,
Mary-Robin Redd,Sister Theresa ,Mary-Robin,Redd,,
McLean Stevenson,Lt. Colonel Henry Blake,McLean,Stevenson,,
Mike Robelo,Cook,Mike,Robelo,,
Noel Toy,Mama San,Noel,Toy,,
Odessa Cleveland,Lt. Ginger Bayliss,Odessa,Cleveland,,
Oksun Kim,Korean Woman,Oksun,Kim,,
Patrick Adiarte,Ho-Jon,Patrick,Adiarte,,
Paul Jenkins,Sergeant Baker,Paul,Jenkins,,
Robert Gooden,Pvt. Lorenzo Boone,Robert,Gooden,,
Robert Ito,Lin,Robert,Ito,,
Ron Howard,Wendell ,Ron,Howard,,
Sheila Lauritsen,Nurse Hardy,Sheila,Lauritsen,,
Sorrell Booke,Gen. Wilson Spaulding Barker,Sorrell,Booke,,
Stanley Bennett Clay,Driver ,Stanley,Bennett Clay,,
Stefanianna Christopherson,Lt. O'Brien ,Stefanianna,Christopherson,,
Stuart Margolin,Captain Phillip G. Sherman,Stuart,Margolin,,
Timothy Brown,Capt. Oliver Harmon 'Spearchucker' Jones,Timothy,Brown,,
Todd Susman,P.A. Announcer ,Todd,Susman,,
Tom Sparks,Corpsman,Tom,Sparks,,
Virginia Ann Lee,Young Hi (as Virginia Lee),Virginia,Ann Lee,,
Wayne Bryan,Private Thompson,Wayne,Bryan,,
Wayne Rogers,Captain John McIntyre,Wayne,Rogers,,
William Christopher,Father Francis Mulcahy,William,Christopher,,
William Katt,P.F.C. ,William,Katt,,
